OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
1127,"Lowell, MA","Lowell, MA Renewal Community",Renewal Community,311100,017,25,MA,No,,Mr.,Colin,M.,McNiece, , ,Director of Economic Development/Renewal Community,Division of Planning and Development,JFK Civic Center,50 Arcand Drive,Lowell,MA,01852,978-446-7239,978-446-7014,cmcniece@ci.lowell.ma.us,25017311100,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Lowell_RC&info1=Urban+Renewal+Community&ID=06334200001,None,823183.7578125,3837.90323012532
1128,"Lowell, MA","Lowell, MA Renewal Community",Renewal Community,311800,017,25,MA,No,,Mr.,Colin,M.,McNiece, , ,Director of Economic Development/Renewal Community,Division of Planning and Development,JFK Civic Center,50 Arcand Drive,Lowell,MA,01852,978-446-7239,978-446-7014,cmcniece@ci.lowell.ma.us,25017311800,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Lowell_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1111322.01171875,4829.78211207683
1129,"Boston, MA","Boston, MA Empowerment Zone",Empowerment Zone,070100,025,25,MA,No,,Ms.,Christine, ,Araujo, ,Executive Director,"Boston Connects, Inc.", ,2201 Washington St.,Suite 302,Boston,MA,02119,617-541-2670,617-427-0747, ,25025070100,1990,Enhanced Enterprise Community (Round I),"Empowerment Zone (Round II); Enhanced Enterprise Community (Round I)","Enhanced Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Boston&info1=Round+II+EZ&ID=25000100001,Empowerment Zone (Round II),2393855.34375,7886.84604708619
1130,"Gary/Hammond/East Chicago, IN","Gary/Hammond/East Chicago, IN Empowerment Zone",Empowerment Zone,011200,089,18,IN,No,,Ms.,Venus, ,Cobb, , ,Executive Director,Empowerment Zone Office,840 Broadway St., ,Gary,IN,46402,219-886-9047,219-886-9051,venuscobb@yahoo.com,18089011200,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IN&community=gary_echicago&info1=Round+II+EZ&ID=18110400001,Empowerment Zone (Round II),942726.22265625,4044.76363099129
1131,"Gary/Hammond/East Chicago, IN","Gary/Hammond/East Chicago, IN Empowerment Zone",Empowerment Zone,011800,089,18,IN,No,,Ms.,Venus, ,Cobb, , ,Executive Director,Empowerment Zone Office,840 Broadway St., ,Gary,IN,46402,219-886-9047,219-886-9051,venuscobb@yahoo.com,18089011800,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IN&community=gary_echicago&info1=Round+II+EZ&ID=18110400001,Empowerment Zone (Round II),570660.9921875,3238.8363950464
1132,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,504500,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163504500,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),1936519.5859375,6121.45078686306
1133,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,002400,121,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13121002400,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1991507.46484375,6071.97165772854
1134,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,518500,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163518500,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1518624.01953125,5033.27677484674
1135,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,522000,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163522000,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),3044237.265625,7947.98024605147
1136,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,970100,013,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22013970100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,87861868.8632813,49514.0097616529
1137,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,000800,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013000800,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,634889.56640625,4095.38880194347
1138,West-Central Mississippi,West-Central Mississippi Renewal Community,Renewal Community,001900,151,28,MS,No,,Mr.,Bruce, ,Reynolds, , ,Director of Planning and Management,Central Mississippi Planning and Development District,1170 Lakeland Drive,PO Box 4935,Jackson,MS,39296-4935,601-981-1511,601-981-1515,breynolds@cmpdd.org,28151001900,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MS&community=West_Central_RC&info1=Rural+Renewal+Community&ID=09072600001,None,569532784.917969,161339.56756895
1139,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,510300,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163510300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1400378.70703125,5010.55808419749
1140,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,950200,041,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22041950200,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,317701290.613281,145744.449927258
1141,"Norfolk/Portsmouth, VA","Norfolk/Portsmouth, VA Empowerment Zone",Empowerment Zone,211400,740,51,VA,No,,Dr.,Landis, ,Faulcon, , ,Executive Director, ,2359 Corprew Avenue, ,Norfolk,VA,23504,757-314-4228,757-314-4242,lfaulcon@empowerment2010.org,51740211400,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=VA&community=Norfolk_Portsmouth&info1=Round+I+EC&info1=Round+II+EZ&ID=51111600,Empowerment Zone (Round II),1359444.7734375,4824.36169748441
1142,"Jacksonville, CA","Jacksonville, FL Empowerment Zone",Empowerment Zone,000300,031,12,FL,No,,Ms.,Roslyn, ,Phillips, , ,"Director, Business Development", ,220 East Bay Street,"City Hall Annex, 14th Floor",Jacksonville,FL,32202,904-630-1540,904-630-2919,roslynp@coj.net,12031000300,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Jacksonville&info1=Round+III+EZ&ID=12902500001,Empowerment Zone (Round III),4724314.18554688,11195.9918855931
1143,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,006601,121,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13121006601,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,2776759.6171875,8628.71202509885
1144,Kentucky Highlands,Kentucky Highlands Empowerment Zone,Empowerment Zone,960300,109,21,KY,No,,Mr.,Jerry, ,Rickett, , , , ,P.O. Box 1738, ,London,KY,40743-1738,606-864-5175,606-864-5194,khicnet@khic.org,21109960300,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Rural,http://www.ezec.gov/ezec/ky/kyhigh.html,Empowerment Zone (Round I),460562162.394531,141996.102362405
1145,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,008202,121,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13121008202,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,10298626.4375,13842.895737304
1146,"Boston, MA","Boston, MA Empowerment Zone",Empowerment Zone,060600,025,25,MA,No,,Ms.,Christine, ,Araujo, ,Executive Director,"Boston Connects, Inc.", ,2201 Washington St.,Suite 302,Boston,MA,02119,617-541-2670,617-427-0747, ,25025060600,1990,Enhanced Enterprise Community (Round I),"Empowerment Zone (Round II); Enhanced Enterprise Community (Round I)","Enhanced Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Boston&info1=Round+II+EZ&ID=25000100001,Empowerment Zone (Round II),3543963.40625,16920.4092460904
1147,"Charleston, SC","Charleston, SC Renewal Community",Renewal Community,000600,019,45,SC,No,,Ms.,Patricia, ,Crawford, , ,Director,Dept. of Housing and Community Development,"75 Calhoun Street, Division 616", ,Charleston,SC,29401-3506,843-724-3766,843-965-4180,crawfordp@ci.charleston.sc.us,45019000600,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Charleston_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1425597.38476563,5567.6577594503
1148,West-Central Mississippi,West-Central Mississippi Renewal Community,Renewal Community,001300,151,28,MS,No,,Mr.,Bruce, ,Reynolds, , ,Director of Planning and Management,Central Mississippi Planning and Development District,1170 Lakeland Drive,PO Box 4935,Jackson,MS,39296-4935,601-981-1511,601-981-1515,breynolds@cmpdd.org,28151001300,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MS&community=West_Central_RC&info1=Rural+Renewal+Community&ID=09072600001,None,13530622.359375,18105.7519804389
1149,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,960200,061,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22061960200,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,547541578.421875,130578.435555364
1150,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,950100,067,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22067950100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,1019122820.78125,166932.234734126
1151,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,016800,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061016800,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),356310.37109375,2551.31057719081
1152,"Rochester, NY","Rochester, NY Renewal Community",Renewal Community,001600,055,36,NY,No,,Mr.,Fashun, ,Ku, , ,Commissioner,Economic Development Dept.,30 Church Street,Room 005A,Rochester,NY,14614-1290,585-428-6808,585-428-6042,fashun@cityofrochester.gov,36055001600,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Rochester_RC&info1=Urban+Renewal+Community&ID=09072600001,None,601344.7890625,4738.60914705791
1153,"Rochester, NY","Rochester, NY Renewal Community",Renewal Community,004602,055,36,NY,No,,Mr.,Fashun, ,Ku, , ,Commissioner,Economic Development Dept.,30 Church Street,Room 005A,Rochester,NY,14614-1290,585-428-6808,585-428-6042,fashun@cityofrochester.gov,36055004602,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Rochester_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1208170.48828125,5504.12516856207
1154,"Philadelphia, PA/Camden, NJ","Philadelphia, PA/Camden, NJ Empowerment Zone",Empowerment Zone,600200,007,34,NJ,No,,Ms.,Eva, ,Gladstein, , ,Executive Director, ,City Hall,Room 168,Philadelphia,PA,19107,215-686-0457,215-686-0462,eva.gladstein@phila.org,34007600200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia&info1=Round+I+EZ&ID=42545100001,Empowerment Zone (Round I),2029500.32421875,8863.69964140566
1155,"Philadelphia, PA/Camden, NJ","Philadelphia, PA/Camden, NJ Empowerment Zone",Empowerment Zone,016300,101,42,PA,No,,Ms.,Eva, ,Gladstein, , ,Executive Director, ,City Hall,Room 168,Philadelphia,PA,19107,215-686-0457,215-686-0462,eva.gladstein@phila.org,42101016300,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia&info1=Round+I+EZ&ID=42545100001,Empowerment Zone (Round I),975695.00390625,4328.32841043307
1156,"Philadelphia, PA/Camden, NJ","Philadelphia, PA/Camden, NJ Empowerment Zone",Empowerment Zone,016500,101,42,PA,No,,Ms.,Eva, ,Gladstein, , ,Executive Director, ,City Hall,Room 168,Philadelphia,PA,19107,215-686-0457,215-686-0462,eva.gladstein@phila.org,42101016500,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia&info1=Round+I+EZ&ID=42545100001,Empowerment Zone (Round I),672098.3984375,3796.04307219496
1157,Aroostook County,Aroostook County Empowerment Zone,Empowerment Zone,951300,003,23,ME,No,,Mr.,Robert,P.,Clarke, , , , ,302 Main Street,PO Box 779,Caribou,ME,04736,207-498-8736,207-493-3108,rclark@nmdc.org,23003951300,1990,None,None,Empowerment Zone (Round III),Rural,http://www.ezec.gov/Communit/aroostook.html,Empowerment Zone (Round III),186639814.160156,66789.9525069574
1158,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,260400,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031260400,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),583953.421875,3274.87161363023
1159,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,420700,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031420700,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1144360.6328125,4282.71730577206
1160,Southwest Georgia United,Southwest Georgia United Empowerment Zone,Empowerment Zone,980200,081,13,GA,No,,Mr.,Robert, ,Cooke, , ,Executive Director, ,PO. Box 587, ,Cordele,GA,31010,912-273-9111,912-276-0450,rcooke@sowega.net,13081980200,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Rural,http://www.ezec.gov/Communit/crispdooly.html,Empowerment Zone (Round II),451079317.734375,102086.727105911
1161,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,670700,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031670700,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,590795.4609375,3282.7244442976
1162,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,612200,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031612200,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1203401.2265625,4383.89440897302
1163,"Corpus Christi, TX","Corpus Christi, TX Renewal Community",Renewal Community,000300,355,48,TX,No,,Ms.,Patricia, ,Garcia, , ,Economic Development Senior Management Analyst,Economic Development,PO Box 9277, ,Corpus Christi,TX,78469,361-844-1785,361-880-3230,Patriciaga@cctexas.com,48355000300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TX&community=Corpus_Christi_RC&info1=Urban+Renewal+Community&ID=06334200001,None,3702778.8203125,10335.9482867575
1164,"Corpus Christi, TX","Corpus Christi, TX Renewal Community",Renewal Community,000400,355,48,TX,No,,Ms.,Patricia, ,Garcia, , ,Economic Development Senior Management Analyst,Economic Development,PO Box 9277, ,Corpus Christi,TX,78469,361-844-1785,361-880-3230,Patriciaga@cctexas.com,48355000400,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TX&community=Corpus_Christi_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1788336.09765625,6002.48810381444
